tippingthreshold;colorchoice173lci;colorchoice173;colorchoice173hci
0,2;0,977505;0,98625;0,99016
0,21;0,977915;0,986435;0,99041
0,22;0,9794;0,987735;0,99115
0,23;0,982285;0,988965;0,99205
0,24;0,98294;0,990455;0,99246
0,25;0,98474;0,99039;0,992865
0,26;0,985745;0,9917;0,993545
0,27;0,98674;0,99246;0,99424
0,28;0,9881;0,99339;0,99497
0,29;0,98721;0,99437;0,99553
0,3;0,98488;0,995285;0,99597
0,31;0,979515;0,996205;0,99654
0,32;0,969935;0,996885;0,997355
0,33;0,95224;0,997105;0,997695
0,34;0,922675;0,998085;0,99805
0,35;0,85611;0,99783;0,99871
0,36;0,75433;0,996805;0,999045
0,37;0,599285;0,992915;0,999275
0,38;0,39891;0,97594;0,999445
0,39;0,199315;0,926865;0,99932
0,4;0,06784;0,79323;0,995705
0,41;0,01474;0,5261;0,971325
0,42;0,00205;0,205845;0,84894
0,43;0,000305;0,030145;0,522605
0,44;0,00001;0,001715;0,109575
0,45;0;0,000085;0,003985
0,46;0;0;0,000035
0,47;0;0;0
0,48;0;0;0
0,49;0;0;0
