ref,type,magnitude,variable,value,topology,immune_fraction,N,k,
Karsai_2016,model,"0,98",c,0.49,empirical,0,,,
Karsai_2016,model,0.9,c,0.36,empirical,0.2,,,
Karsai_2016,model,0.3-0.4,w,0.19,empirical(skype),0.2,,,
Karsai_2016,model,>0.6,w,0-0.14,empirical(skype),0.2,,,
Lacopini_et_al_2022,model,>0.6,s,0.01,uniform hypegraph,0,,,
Lacopini_et_al_2022,model,>0.6,s,0.03,uniform hypergraph,0,,,
Min_Miguel_2023,model,>0.6,s,0.0002,,0,,,
Nishioka_ Hasegawa_2022,model,>0.6,s,0.001-0.01,ERN,0,,,
Amato_et_al_2022,,,,,,,,,
Castilla_Rho_et_al_2017,model,>0.6,s,0.1,grid,,1600,,
Castilla_Rho_et_al_2017,model,>0.6,s,0.2,grid,,1600,,
Castilla_Rho_et_al_2017,model,>0.50,s,0.4,grid,,1600,,
Hu_Winer_2017,experimental,>0.6,c,0.11,,,,,
Paluck_et_al_2016,experimental,>0.75,s,0.15,empirical,,431,,
Paluck_et_al_2016,experimental,>0.6,s,0.15,empirical,,431,,
Centola_2010,model/empirical,>0.6,s,1,"RRN, CL",,"98, 128, 144",,
Watts_Dodds_2007,model,>0.6,s,1,1,,RRN,Y,+
Lacopini_et_al_2022,model/experimental,>0.6,c,0.35,complete,,,,
Lacopini_et_al_2022,experimental,>0.6,c,0.44,complete,,,,
Amato_et_al_2022,,>0.6,c,0.23,,,,,
Amato_et_al_2022,,>0.6,c,0.19,,,,,
Amato_et_al_2022,,>0.6,c,0.3,,,,,
Krönke_et_al_2022,,>0.6,c,0.1,,,,,
Krönke_et_al_2022,,>0.6,c,0.09,,,,,
Wiedermann_et_al_2020,,>0.6,c,0.19,,,,,
Andreoni_et_al_2020,,>0.6,c,0.35,,,,,
Centola_et_al_2018,,>0.6,c,24.5,,,,,
Nishioka_ Hasegawa_2022,model,>0.6,w,0-0.3,RN,,4048,43,
Nishioka_ Hasegawa_2022,model,>0.6,w,0-0.2,empirical(facebook),,4048,43,
Nishioka_ Hasegawa_2022,model,>0.6,w,0-0.18,ERRG,,4048,43,
Wiedermann_et_al_2020,model,>0.6,w,0-0.41,ER,,100000,10,
Wiedermann_et_al_2020,model,>0.6,c,0.10-0.30,ER,,100000,10,
Karimi & Holme_2013,model/oibservational,>0.6,w,0-1.0,empirical(various),,,,
Jin & Unjong_2021,model,>0.6,w,0-0.35,"ER, BA, HK, SL, SW, RN",,10000,8,
Min_Miguel_2023,model,>0.6,w,0-0.25,ER,,100000,,
Watts_Dodds_2007,,,,,,,,,
Watts_2002,model,>0.6,w,0-0.15,SFRN,,1000,,
Watts_2002,model,>0.6,w,0-0.25,RRG,,1000,,
Watts_2002,model,>0.6,w,0-0.15,SFRN,,1000,,
Watts_2002,model,>0.6,w,0-0.25,RRG,,10000,,
Jin_Yu_2021,model,1,c,0.3041,,,,,
Jin_Yu_2021,model,1,c,0.0892,,,,,
Jin_Yu_2021,model,1,c,0.1049,,,,,
Jin_Yu_2021,model,1,c,0.5071,,,,,
Jin_Yu_2021,model,1,c,0.1861,,,,,
Jin_Yu_2021,model,1,c,0.4381,,,,,
Jin_Yu_2021,model,1,c,0.4084,,,,,
Jin_Yu_2021,model,1,c,0.2028,,,,,
Jin_Yu_2021,model,1,c,0.2472,,,,,
Jin_Yu_2021,model,1,c,0.1904,,,,,
Jin_Yu_2021,model,1,c,0.2077,,,,,
Jin_Yu_2021,model,1,c,0.266,,,,,
Jin_Yu_2021,model,1,c,0.2609,,,,,
Jin_Yu_2021,model,1,c,0.1591,,,,,
Jin_Yu_2021,model,1,c,0.2049,,,,,
Jin_Yu_2021,model,1,c,0.3322,,,,,
Jin_Yu_2021,model,1,c,0.3239,,,,,
Jin_Yu_2021,model,1,c,0.5323,,,,,
Jin_Yu_2021,model,1,c,0.469,,,,,
Jin_Yu_2021,model,1,c,0.439,,,,,
Jin_Yu_2021,model,1,c,0.3774,,,,,
