x,y,hashtag
4.00,0.01,bringbackourgirls
6.01,0.03,bringbackourgirls
7.91,0.03,bringbackourgirls
9.80,0.04,bringbackourgirls
11.93,0.05,bringbackourgirls
13.89,0.06,bringbackourgirls
15.90,0.06,bringbackourgirls
18.09,0.07,bringbackourgirls
19.93,0.08,bringbackourgirls
21.89,0.08,bringbackourgirls
23.96,0.09,bringbackourgirls
25.32,0.11,bringbackourgirls
26.56,0.12,bringbackourgirls
27.98,0.14,bringbackourgirls
28.75,0.17,bringbackourgirls
29.51,0.21,bringbackourgirls
30.57,0.25,bringbackourgirls
31.28,0.28,bringbackourgirls
31.87,0.30,bringbackourgirls
32.93,0.34,bringbackourgirls
34.00,0.36,bringbackourgirls
34.88,0.39,bringbackourgirls
35.83,0.42,bringbackourgirls
37.31,0.44,bringbackourgirls
38.55,0.45,bringbackourgirls
39.85,0.47,bringbackourgirls
41.45,0.49,bringbackourgirls
42.93,0.51,bringbackourgirls
43.93,0.52,bringbackourgirls
46.12,0.55,bringbackourgirls
47.84,0.57,bringbackourgirls
50.08,0.61,bringbackourgirls
51.86,0.64,bringbackourgirls
53.81,0.67,bringbackourgirls
55.76,0.70,bringbackourgirls
57.77,0.73,bringbackourgirls
59.78,0.76,bringbackourgirls
61.79,0.79,bringbackourgirls
63.92,0.83,bringbackourgirls
65.81,0.85,bringbackourgirls
67.77,0.87,bringbackourgirls
70.67,0.91,bringbackourgirls
72.97,0.93,bringbackourgirls
74.99,0.95,bringbackourgirls
77.41,0.97,bringbackourgirls
79.66,0.98,bringbackourgirls
81.62,0.98,bringbackourgirls
82.68,0.99,bringbackourgirls
0.00,0.14,nigerianschoolgirls
6.00,0.19,nigerianschoolgirls
12.00,0.24,nigerianschoolgirls
16.00,0.27,nigerianschoolgirls
20.00,0.30,nigerianschoolgirls
22.00,0.35,nigerianschoolgirls
24.00,0.40,nigerianschoolgirls
27.00,0.46,nigerianschoolgirls
30.00,0.53,nigerianschoolgirls
33.00,0.60,nigerianschoolgirls
36.00,0.66,nigerianschoolgirls
38.00,0.71,nigerianschoolgirls
40.00,0.74,nigerianschoolgirls
43.00,0.76,nigerianschoolgirls
47.00,0.79,nigerianschoolgirls
51.00,0.81,nigerianschoolgirls
56.00,0.84,nigerianschoolgirls
59.00,0.86,nigerianschoolgirls
63.00,0.88,nigerianschoolgirls
67.00,0.90,nigerianschoolgirls
70.00,0.92,nigerianschoolgirls
74.00,0.93,nigerianschoolgirls
77.00,0.95,nigerianschoolgirls
80.00,0.97,nigerianschoolgirls
