x,y,seed_size,N
0,0,0.01,5000
1,0.01,0.01,5000
2,0.013564,0.01,5000
3,0.01832613,0.01,5000
4,0.024641377,0.01,5000
5,0.032944762,0.01,5000
6,0.043762125,0.01,5000
7,0.057724902,0.01,5000
8,0.0755917,0.01,5000
9,0.098273359,0.01,5000
10,0.126839144,0.01,5000
11,0.162438356,0.01,5000
12,0.206000445,0.01,5000
13,0.257559419,0.01,5000
14,0.315383884,0.01,5000
15,0.375890594,0.01,5000
16,0.435139703,0.01,5000
17,0.490556076,0.01,5000
18,0.541177142,0.01,5000
19,0.586968793,0.01,5000
20,0.628247812,0.01,5000
21,0.66541687,0.01,5000
22,0.698873656,0.01,5000
23,0.728985922,0.01,5000
24,0.756087242,0.01,5000
25,0.780478498,0.01,5000
26,0.802430643,0.01,5000
27,0.822187578,0.01,5000
28,0.83996882,0.01,5000
29,0.855971938,0.01,5000
30,0.870374744,0.01,5000
31,0.88333727,0.01,5000
0,0,0.02,5000
1,0.02,0.02,5000
2,0.026663987,0.02,5000
3,0.03533192,0.02,5000
4,0.046494472,0.02,5000
5,0.060725252,0.02,5000
6,0.078694349,0.02,5000
7,0.101184949,0.02,5000
8,0.129096577,0.02,5000
9,0.163388797,0.02,5000
10,0.204871822,0.02,5000
11,0.253729102,0.02,5000
12,0.308831328,0.02,5000
13,0.367418944,0.02,5000
14,0.4259288,0.02,5000
15,0.481509089,0.02,5000
16,0.532734405,0.02,5000
17,0.579264799,0.02,5000
18,0.621280044,0.02,5000
19,0.659135433,0.02,5000
20,0.693217307,0.02,5000
21,0.723894344,0.02,5000
22,0.751504585,0.02,5000
23,0.776354043,0.02,5000
24,0.798718617,0.02,5000
25,0.81884675,0.02,5000
26,0.836962074,0.02,5000
27,0.853265866,0.02,5000
28,0.867939279,0.02,5000
29,0.881145351,0.02,5000
30,0.893030816,0.02,5000
31,0.903727735,0.02,5000
0,0,0.05,5000
1,0.05,0.05,5000
2,0.067096421,0.05,5000
3,0.089047291,0.05,5000
4,0.11685956,0.05,5000
5,0.151608243,0.05,5000
6,0.194209258,0.05,5000
7,0.244846094,0.05,5000
8,0.302117547,0.05,5000
9,0.362721619,0.05,5000
10,0.422664791,0.05,5000
11,0.479081928,0.05,5000
12,0.530768154,0.05,5000
13,0.577576138,0.05,5000
14,0.619787594,0.05,5000
15,0.657800869,0.05,5000
16,0.692018796,0.05,5000
17,0.722816434,0.05,5000
18,0.750534676,0.05,5000
19,0.775481182,0.05,5000
20,0.797933058,0.05,5000
21,0.818139751,0.05,5000
22,0.836325775,0.05,5000
23,0.852693198,0.05,5000
24,0.867423878,0.05,5000
25,0.88068149,0.05,5000
26,0.892613341,0.05,5000
27,0.903352007,0.05,5000
28,0.913016806,0.05,5000
29,0.921715126,0.05,5000
30,0.929543613,0.05,5000
31,0.936589252,0.05,5000
0,0,0.1,5000
1,0.1,0.1,5000
2,0.130499751,0.1,5000
3,0.167866596,0.1,5000
4,0.212618774,0.1,5000
5,0.264467566,0.1,5000
6,0.321705206,0.1,5000
7,0.38119444,0.1,5000
8,0.439494783,0.1,5000
9,0.494218863,0.1,5000
10,0.544355516,0.1,5000
11,0.589783481,0.1,5000
12,0.630765068,0.1,5000
13,0.667677246,0.1,5000
14,0.70090642,0.1,5000
15,0.730814949,0.1,5000
16,0.757733237,0.1,5000
17,0.781959858,0.1,5000
18,0.803763858,0.1,5000
19,0.823387468,0.1,5000
20,0.841048721,0.1,5000
21,0.856943848,0.1,5000
22,0.871249463,0.1,5000
23,0.884124517,0.1,5000
24,0.895712065,0.1,5000
25,0.906140859,0.1,5000
26,0.915526773,0.1,5000
27,0.923974096,0.1,5000
28,0.931576686,0.1,5000
29,0.938419017,0.1,5000
30,0.944577116,0.1,5000
31,0.950119404,0.1,5000
