x,y,data
0,0.009600995,all
0.05,3.33067E-15,all
0.1,0.109570058,all
0.2,0.06186194,all
0.3,0.103255238,all
0.5,0.092841603,all
0.75,0.310803607,all
1,0.275382178,all
0,0.242021549,direct
0.05,0.186020036,direct
0.1,0.397882184,direct
0.2,0.187420709,direct
0.3,0.193249524,direct
0.5,0.311249046,direct
0.75,0.479852705,direct
1,0.54899802,direct
0,0.383819904,spillover
0.05,0.271591985,spillover
0.1,0.009625,spillover
0.2,0.163198507,spillover
0.3,0.31121368,spillover
0.5,0.222512405,spillover
0.75,1.513961712,spillover
1,1.01225099,spillover
